q1,q2,generated_text,real_label,scenario
ويتامين ب در چه چيزهايي وجود دارد؟,ويتامين b12 در چه چيزهايي وجود دارد؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'ویتامین ب در چه چیزهای وجود دارد؟' سؤال دوم: 'ویتامین b ۱۲ در چه چیزهای وجود دارد؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه,خیر,Zero-shot
داستان معراج پیامبر در کدام سوره است؟,داستان معراج پیامبر در کدام سوره قرانی امده است؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'آیا داستان معراج پیامبر در کدام سوره است؟' سؤال دوم: 'آیا داستان معراج پیامبر در کدام سوره قرانی امده است؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند,بله,Zero-shot
کارتهای اعتباری در مشاغل کوچک و رستوران های مالت چقدر پذیرفته شده اند؟,کارتهای اعتباری در مشاغل کوچک و رستورانهای اسرائیل چقدر پذیرفته شده اند؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'در سال‌های اخیر در ایالات‌متحده چه میزان افزایش داشته است؟' سؤال دوم: 'در سال‌های اخیر در ایالات‌متحده چه میزان کاهش داشته است؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک,خیر,Zero-shot
زیرنویس فارسی فیلم دره من چه سرسبز بود؟,دانلود زیرنویس فارسی فیلم دره من چه سرسبز بود؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'زیرنویس فارسی فیلم دره من چه سرسبز بود؟' سؤال دوم: 'دانلود زیرنویس فارسی فیلم دره من چه سرسبز بود؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط,بله,Zero-shot
از کجا بفهمیم باتری لپ تاپ سالم است؟,از کجا بفهمیم باتری لپ تاپ خراب است؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'از کجا می‌توانم به شما کمک کنم؟' سؤال دوم: 'از کجا می‌توانم به شما کمک نخورم؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف,خیر,Zero-shot
فلات ایران شبیه کدام شکل هندسی است؟,کدام پرچم شبیه پرچم ایران است؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'در ایران چه نوع پوشش وجود دارد؟' سؤال دوم: 'در ایران چه نوع پوشش وجود دارد؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب ',خیر,Zero-shot
خانواده ویتامین b در چه چیزهایی وجود دارد؟,ویتامین گروه b در چه مواد غذایی وجود دارد؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'آیا در این شهر یک مدرسه وجود دارد؟' سؤال دوم: 'آیا در این شهر یک مدرسه وجود دارد؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه,بله,Zero-shot
برخی از ویژگی های انقباضات غیر عادی و متمرکز چیست؟,علائم انقباضات غیر عادی و متمرکز چیست؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'برخی از ویژگی های انقباضات غیر عادی و متمرکز چیست؟' سؤال دوم: 'علائم انقباضات غیر عادی و متمرکز چیست؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف,بله,Zero-shot
سود سهام عدالت شامل چه کسانی می شود؟,سهام عدالت شامل حال چه کسانی می شود؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'در چه زمانی است که شما می‌توانید از یک ماشین استفاده کنید؟' سؤال دوم: 'در چه زمانی است که شما می‌توانید از یک ماشین استفاده کنید؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب,خیر,Zero-shot
تست بارداری به غیر از بیبی چک؟,چه موقع میشه از تست بارداری استفاده کرد؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'آیا شما می‌توانید در مورد این موضوع صحبت کنید؟' سؤال دوم: 'آیا شما می‌توانید در مورد این موضوع صحبت کنید؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید,خیر,Zero-shot
چه با لباس در وان نشسته باشی؟,چه غذایی با فسنجون جور در میاد؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'چه با لباس در وان نشسته باشی؟' سؤال دوم: 'چه غذایی با فسنجون جور در میاد؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک,خیر,Zero-shot
راه های آسان برای کسب درآمد آنلاین چیست؟,راه های کسب درآمد بصورت آنلاین چیست؟,  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید. سؤال اول: 'راه های آسان برای کسب درآمد آنلاین چیست؟' سؤال دوم: 'راه های کسب درآمد بصورت آنلاین چیست؟'  [NEW_LINE] در ادامه دو سؤال آمده است. آیا این دو سؤال مترادف هستند یا خیر؟ اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید. اگر مترادف نیستند فقط در یک کلمه جواب,بله,Zero-shot
