q1,q2,generated_text,real_label,scenario
ويتامين ب در چه چيزهايي وجود دارد؟,ويتامين b12 در چه چيزهايي وجود دارد؟," سوال اول: ويتامين ب در چه چيزهايي وجود دارد؟

جوب: ويتامين ب در نوع مواد هوائی وجود دارد و این مواد در بیماری و باردی می‌توانند کار می‌کنند.


سوال دوم: ويتامين b12 در چه چيزهايي وجود دارد؟

جوب: ويتامين b12 در مواد غذایی و منابع غذایی وجود دارد و این مواد به بیماری و باردی می‌توانند کار می‌کنند.


اگر مترادف هستند:

کلمه: بله

جوب: بله، این دو سوال مترادف است.


اگر مترادف نیستند:

کلمه: خیر

جوب: خیر، این دو سوال نیستند مترادف و به یک کلمه جواب 'خیر' تولید کنید.",خیر,Zero-shot
داستان معراج پیامبر در کدام سوره است؟,داستان معراج پیامبر در کدام سوره قرانی امده است؟," این دو سوال مترادف نیستند. سوال اول: داستان معراج پیامبر در کدام سوره است؛ استفاده می‌کنیم که ""سوره است"" یک کلمه است. سوال دوم: داستان معراج پیامبر در کدام سوره قرانی امده است؛ استفاده می‌کنیم که ""کدام سوره قرانی"" یک کلمه است.


در این حالت، بله، به دو سوال مترادف نیست، و به دو  داستان معراج پیامبر در کدام سوره است و داستان معراج پیامبر در کدام سوره قرانی امده است. این دو کلمه‌ها به این داستانی که به معنای ""داستان معراج پیامبر"" است، به معنای ""داستان معراج پیامبر در کدام سوره"" یا ""داستان معراج پیامبر در",بله,Zero-shot
کارتهای اعتباری در مشاغل کوچک و رستوران های مالت چقدر پذیرفته شده اند؟,کارتهای اعتباری در مشاغل کوچک و رستورانهای اسرائیل چقدر پذیرفته شده اند؟," این دو سوال مترادف نیستند. کارتهای اعتباری در مشاغل کوچک و رستوران های مالت و اسرائیل در مشاغل دو مختلف کشور دارند که به دست می‌داده‌اند.


کارتهای اعتباری در مشاغل مالت می‌توانند به دو مربی برای کار کرده‌اند، که به دست می‌داده‌اند. اسرائیل کارتهای اعتباری در مشاغل می‌تواند به دو مربی برای کار کرده‌اند، که به دست می‌داده‌اند. این این است که این کلمه‌ها به یک کلمه یک کلمه برای این موضوع تولید کننده است. بله، این است که این کلمه‌ها در یک مورد مختلف موضوع برای این موضوع تولید کننده است. اما در این مو",خیر,Zero-shot
زیرنویس فارسی فیلم دره من چه سرسبز بود؟,دانلود زیرنویس فارسی فیلم دره من چه سرسبز بود؟," این دو سوال مترادف است.

کلمه جواب ""بله"" با این کلمه است:

سوال اول: زیرنویس فارسی فیلم دره من چه سرسبز بود؟

سوال دوم: بله، زیرنویس فارسی فیلم دره من چه سرسبز بود؟",بله,Zero-shot
از کجا بفهمیم باتری لپ تاپ سالم است؟,از کجا بفهمیم باتری لپ تاپ خراب است؟," سوال اول: از کجا بفهمیم باتری لپ تاپ سالم است؟

خوب، این سوال مترادف است برای کلمه ""باتری لپ تاپ"" که به عنوان سیستم برنامه‌ای است و برای تعریف سیستم که برای تسویه و تولید باتر‌ها می‌کند، استفاده می‌شود.

سوال دوم: از کجا بفهمیم باتری لپ تاپ خراب است؟

در این کلمه ""باتری لپ تاپ"" که به عنوان سیستم برنامه‌ای است، این سوال مترادف نیست. اما برای توضیح کسب کردن باتر‌ها و افزایش سیستم برنامه‌ای، این کلمه به معنای ""خراب"" نمی‌تواند برای توضیح شود. این کلمه به معنای ""باتری که برای تسویه یا افزایش سیستم برنامه‌ا",خیر,Zero-shot
فلات ایران شبیه کدام شکل هندسی است؟,کدام پرچم شبیه پرچم ایران است؟," سوال اول: فلات ایران شبیه کدام شکل هندسی است؟ این سوال مترادف نیست.

جواب به سوال اول: فلات ایران شبیه به مورد کدهای مورد هندسی است که به معنای مورد کدهای مورد میزان‌های ویژگی‌های مختلفی است و می‌توانند به مورد مورد میزان‌های میزانی و می‌توانند به مورد مورد میزان‌های میزانی و می‌توانند به مورد مورد میزان‌های میزانی و می‌توانند به مورد مورد میزان‌های میزانی و می‌توانند به مورد مورد میزان‌های میزانی و می‌توانند به مورد مورد میزان‌های میزانی و می‌توانند به مورد مورد میزان‌های میزانی و می‌توانند به ",خیر,Zero-shot
خانواده ویتامین b در چه چیزهایی وجود دارد؟,ویتامین گروه b در چه مواد غذایی وجود دارد؟," سوال اول: خانواده ویتامین b در چه چیزهایی وجود دارد؟

خیر، خانواده ویتامین b در مواد مورد میزان واقعی محیط ماکتانیک و بیماری محیطی دارد.

سوال دوم: ویتامین گروه b در چه مواد غذایی وجود دارد؟

خیر، ویتامین گروه b در مواد محیطی مثل کلیویوم و سیبیت ویتامین دارد.",بله,Zero-shot
برخی از ویژگی های انقباضات غیر عادی و متمرکز چیست؟,علائم انقباضات غیر عادی و متمرکز چیست؟," سوال اول: برخی از ویژگی‌های انقباضات غیر عادی و متمرکز شماره 1، 2، 3 و 4 است. این ویژگی‌های شامل تولید نمایش‌های انقباض‌های متمرکز و تولید از انقباض‌های غیر عادی و متمرکز است.

سوال دوم: علائم انقباضات غیر عادی و متمرکز شماره 1، 2، 3 و 4 است. این علائم شامل تولید نمایش‌های انقباض‌های متمرکز و تولید از انقباض‌های غیر عادی و متمرکز است.",بله,Zero-shot
سود سهام عدالت شامل چه کسانی می شود؟,سهام عدالت شامل حال چه کسانی می شود؟," سوال اول: سود سهام عدالت شامل کلمه ""ملایم"" است یا خیر؟

سوال دوم: سهام عدالت شامل حال کلمه ""ملایم"" است یا خیر؟


برای این مورد، این دو سواله مترادف است و به کلمه ""ملایم"" تولید کنید.",خیر,Zero-shot
تست بارداری به غیر از بیبی چک؟,چه موقع میشه از تست بارداری استفاده کرد؟," سوال اول: تست بارداری به غیر از بیبی چک؟ - خیر

سوال دوم: چه موقع می‌شود تست بارداری استفاده کرد؟ - بله


این دو سوالات در یک کلمه به کلمه ""خیر"" تولید کنیم:

- تست بارداری به غیر از بیبی چک؟ - خیر

- بله - بله (بله یک کلمه به کلمه ""بله"" نیست)


در این حالت، دو سوالات نیز مترادف نیستند و به کلمه ""خیر"" یا ""بله"" تولید کنیم. اما دو اصلی استفاده از این کلمه‌ها برای به دست کنید.",خیر,Zero-shot
