q1,q2,generated_text,real_label,scenario
ويتامين ب در چه چيزهايي وجود دارد؟,ويتامين b12 در چه چيزهايي وجود دارد؟, بله,خیر,Zero-shot
داستان معراج پیامبر در کدام سوره است؟,داستان معراج پیامبر در کدام سوره قرانی امده است؟,1- بله 2- نه,بله,Zero-shot
کارتهای اعتباری در مشاغل کوچک و رستوران های مالت چقدر پذیرفته شده اند؟,کارتهای اعتباری در مشاغل کوچک و رستورانهای اسرائیل چقدر پذیرفته شده اند؟,1) جواب بله 2) جواب نه,خیر,Zero-shot
زیرنویس فارسی فیلم دره من چه سرسبز بود؟,دانلود زیرنویس فارسی فیلم دره من چه سرسبز بود؟,1) جواب: بله,بله,Zero-shot
از کجا بفهمیم باتری لپ تاپ سالم است؟,از کجا بفهمیم باتری لپ تاپ خراب است؟,1) از کجا بفهمیم باتری لپ تاپ سالم است؟ 2) از کجا بفهمیم باتری لپ تاپ خراب است؟,خیر,Zero-shot
فلات ایران شبیه کدام شکل هندسی است؟,کدام پرچم شبیه پرچم ایران است؟,1) مربع 2) مثلث,خیر,Zero-shot
خانواده ویتامین b در چه چیزهایی وجود دارد؟,ویتامین گروه b در چه مواد غذایی وجود دارد؟,1) خانواده ویتامین B 2) ویتامین گروه B,بله,Zero-shot
برخی از ویژگی های انقباضات غیر عادی و متمرکز چیست؟,علائم انقباضات غیر عادی و متمرکز چیست؟,1) انقباضات غیر معمول و متمرکز 2) انقباضات غیر معمول و متمرکز,بله,Zero-shot
سود سهام عدالت شامل چه کسانی می شود؟,سهام عدالت شامل حال چه کسانی می شود؟,1) سهام عادل 2) سهون عادل,خیر,Zero-shot
تست بارداری به غیر از بیبی چک؟,چه موقع میشه از تست بارداری استفاده کرد؟,1) بله 2) نه,خیر,Zero-shot
چه با لباس در وان نشسته باشی؟,چه غذایی با فسنجون جور در میاد؟,1) چه با لباس در وان نشسته باشی؟ 2) چه غذایی با فسنجون جور در میاد؟,خیر,Zero-shot
راه های آسان برای کسب درآمد آنلاین چیست؟,راه های کسب درآمد بصورت آنلاین چیست؟,1) راه های آسان برای کسب درآمد آنلاین 2) راه های کسب درآمد بصورت آنلاین,بله,Zero-shot
انشا در مورد چرا باید به مادر خود احترام بگذاریم؟,انشا در مورد چرا باید به بزرگترها احترام بگذاریم؟,1) بله 2) نه,خیر,Zero-shot
از کجا بفهمیم باتری لپ تاپ سالم است؟,از کجا بفهمیم باتری لپ تاپ اصل است؟,1) از کجا بفهمیم باتری لپ تاپ سالم است؟ 2) از کجا بفهمیم باتری لپ تاپ اصل است؟,خیر,Zero-shot
اگر فقیر باشم چطور می توانم سالم بخورم؟,چگونه می توانم سالم بخورم ، بدون اینکه زمان زیادی را صرف پخت و پز/خرید/ خوردن نکنم؟, بله,خیر,Zero-shot
غلط گیر با چه چیزی می رود؟,لاک غلط گیر با چه چیزی پاک می شود؟,1) جواب بله 2) جواب نه,بله,Zero-shot
چه کار کنیم تا به درس خواندن علاقه مند شویم؟,چه کار کنیم تا علاقه مان به درس بیشتر شود؟,1) مطالعه 2) علاقه,بله,Zero-shot
خوراکی هایی که برای زنان باردار مفید است؟,خوراکی هایی که برای زن باردار مفید است؟,1) بله 2) نه,بله,Zero-shot
برای داشتن شکم صاف چه کاری می توانم انجام دهم؟,چگونه چربی شکمم را کاهش دهم؟,1) بله 2) نه,خیر,Zero-shot
چرا اینترنت گوشی اپل به لپ تاپ وصل نمیشه؟,چگونه با لپ تاپ به اینترنت گوشی اپل وصل شویم؟,1-بله 2-نه,خیر,Zero-shot
از کجا بفهمیم چه شماره هایی به نام ماست؟,از کجا بفهمیم چه شماره های ایرانسلی به نام ماست؟,1) از کجا بفهمیم چه شماره هایی به نام ماست؟ 2) از کجا بفهمیم چه شماره های ایرانسلی به نام ماست؟,خیر,Zero-shot
چگونه می توانم در محل کار دوست پیدا کنم؟,چگونه دوست پیدا می کنیم؟,1) بله 2) نه,خیر,Zero-shot
چه چیزی باعث روزی زیاد می شود؟,کمبود چه چیزی باعث خواب زیاد می شود؟,1) جواب: بله,خیر,Zero-shot
چه میوه هایی برای عفونت ریه خوب است؟,چه میوه هایی برای عفونت گلو خوب است؟,1) میوه‌های خوشمزه 2) میوه‌های خوشمزه,خیر,Zero-shot
چه چیزی ویتامین بدن را تامین میکند؟,چه غذاهایی ویتامین بدن را تامین میکند؟,1) ویتامین 2) ویتامین,بله,Zero-shot
چه چیزی برای درمان زود انزالی خوب است؟,چه چیزی برای زود انزالی خوب است؟,1- جواب بله 2- جواب خیر,بله,Zero-shot
برای طولانی کردن رابطه در رختخواب چه کاری باید انجام دهم؟,چگونه می توانم در رابطه جنسی طولانی تر باشم؟,1) دراز کشیدن 2) دراز کشیدن,بله,Zero-shot
کدام کشورهای اروپایی جزو اتحادیه اروپا نیستند؟,کدام گروه جزو سابقون نیستند؟,1) بله 2) نه,خیر,Zero-shot
چرا حضرت ابراهیم در برابر نمرود به سجده نیفتاد؟,چرا خداوند در قران به حضرت ابراهیم درود فرستاد؟,1) نه 2) بله,خیر,Zero-shot
چگونه می توانم به عنوان دانشجوی بین المللی در ایالات متحده درخواست شغل کنم؟,Proteus software Infrared Light Sensors Microcontrollers +1: چگونه می توان حسگر IR را با استفاده از نرم افزار Proteus شبیه سازی کرد؟,1) بله 2) نه,خیر,Zero-shot
چرا جوجه های یک روزه را زنده به گور میکنند؟,چرا جوجه های یک روزه را میکشند؟,1) بله 2) نه,بله,Zero-shot
ویتامین بی در کدام مواد غذایی است؟,ویتامین دی در کدام مواد غذایی است؟,1- ویتامین B2 2- ویتامین D,خیر,Zero-shot
چه کسانی میتوانند در آزمون ept شرکت کنند؟,چه کسانی میتوانند در کنکور تجربی شرکت کنند؟,1) بله 2) نه,خیر,Zero-shot
چه چیزی باعث قطع شدن ابریزش بینی می شود؟,چه چیزی باعث کوچک شدن بینی گوشتی می شود؟,1) آبریزش بینی 2) بینی گوشتی,خیر,Zero-shot
از کجا بفهمیم که یارانه قطع شده؟,چگونه بفهمیم که یارانه قطع شده؟,1) از کجا بفهمیم که یارانه قطع شده؟ 2) چگونه بفهمیم که یارانه قطع شده؟,بله,Zero-shot
نمونه هایی از ناهماهنگی شناختی در فوتبال چیست؟,نمونه هایی از ناهماهنگی شناختی در اینترنت چیست؟,1) ناهماهنگی شناختی در فوتبال: ناهماهنگی شناختی در اینترنت,خیر,Zero-shot
شهریه دانشگاه آزاد رشته پزشکی سال 98؟,شهریه دانشگاه ازاد رشته پزشکی سال ۹۸؟,1)درس 2)دانشگاه 3)سود,بله,Zero-shot
آیا وقتی وجود دارد که نباید رها کنید؟ (کسی را),زمان کافی برای رها کردن کسی کیست؟,1) بله 2) نه,خیر,Zero-shot
چه چیزی برای از بین بردن چربی خون مفید است؟,چه چیزی برای از بین بردن کیست تخمدان مفید است؟,1) جواب: بله 2) جواب: نه,خیر,Zero-shot
از کجا بفهمم بچم گوش درد داره؟,از کجا بفهمم نوزاد گوش درد داره؟,1) از کجا بفهمم بچم گوش درد دارد؟ 2) از کجا بفهمم نوزاد گوش درد دارد؟,بله,Zero-shot
چگونه بفهمیم که چقدر سهام عدالت داریم؟,چگونه بفهمیم که چقدر نت داریم؟,1) بله 2) نه,خیر,Zero-shot
چرا قران می خوانیم به زبان کودکانه؟,چرا نماز را به زبان عربی می خوانیم؟,1) بله 2) نه,خیر,Zero-shot
