,image_id,question,answer
84051,416957,Is this a riding horse?,no
4596,502665,Is this room large?,no
402902,40069,Is the cat on a bed?,no
287876,476321,Has the dessert been cut?,no
34166,534000,Can the couch also be a bed?,no
432059,520750,Is the bike chained?,no
195569,448397,Is the man wearing a bow tie?,no
231506,327936,Does this animal have a bell?,no
315982,353671,Has anyone taken a bit out of this dessert?,no
85250,548388,Is this bed covered in a rainbow blanket?,no
215462,323178,Is this a passenger train?,no
352219,495997,Are the women cooking?,no
339410,409678,Is this breakfast?,no
4168,525501,Is the sun close to the ground?,no
313298,183913,Is it a cold day outside?,no
330112,358020,Is the sky clear?,no
339933,361071,Are there any people in the bus?,no
356071,366061,Is there a person in the photo?,no
29054,139389,Is the car door ajar?,no
435841,521884,Is it a two-way street?,no
281733,404236,Are the seas rough?,no
152000,174030,Is the man on the table in discomfort?,no
377084,313556,Are these people enjoying themselves?,no
135938,93793,Is this a desert?,no
443228,130908,Is this a food truck?,no
97965,420889,Do the boats have their sails up?,no
15139,528621,Is this man a novice?,no
310272,483011,Can you see the sun?,no
344251,493484,Is it a strike?,no
188216,315221,Are the birds kissing?,no
353389,365261,Has the white sheep been recently sheared?,no
298094,348359,Is the man waxing the floor?,no
350002,495269,Is there fruit in between the layers of cake?,no
166377,309135,Do these animals blend in to their present environment?,no
60487,148144,Is there a fire hydrant on the side of a road?,no
361971,498918,Is this near an airport?,no
21257,205334,Is the lady holding a pair of scissors?,no
218310,455090,Is someone going on vacation?,no
419862,254853,Is this a high end bathroom?,no
56725,155588,Are these roads paved?,no
47242,13362,Is he wearing tennis shoes?,no
387919,16470,Are there only men in the photo?,no
225455,338357,Is this animal real?,no
401533,571318,Are there any DVDs on the floor?,no
126777,560135,Is this in London?,no
356972,418099,Would ivory poachers be very tempted to hunt this elephant?,no
124678,293598,Are all the animals facing the same direction?,no
254424,465945,Is the plastic container with the spoon in it full?,no
91359,550097,Are these boats in a good condition?,no
420014,385972,Does this bicycle have a basket?,no
189095,284047,Is there a keyboard in this picture?,no
351719,364738,Is it dark in the room?,no
363822,237333,Are these people casual wine drinkers?,no
103532,29268,Are the two umbrellas the same color?,no
348638,494879,Is the dog asleep?,no
404856,250106,Is the sky gray?,no
414074,253072,Is the tennis ball in the player's hand?,no
278009,211048,Is this woman wearing a bracelet?,no
213866,191625,Are there any clouds in the sky?,no
51816,157610,Can you see mountains?,no
240133,461557,Is her hair up?,no
379708,277449,Is someone cooking?,no
373086,371254,Is this train in the United States?,no
344044,362349,Is there a drinking glass seen?,no
195006,579312,Could this collection be called a collage?,no
171790,310683,Is the elephant in the desert?,no
61294,17325,Is this a men's room?,no
212104,191101,Is the Snow White?,no
5494,349793,Is the man racing the motorcycle?,no
291394,84183,Is this picture in color?,no
123385,559203,Does the tie match the jacket?,no
128796,429586,Is this type of train powered by electric rail?,no
388442,113998,Is the man planning to buy fruit?,no
434270,259284,Is the blanket patterned?,no
49617,570317,Is the kite on the ground?,no
65006,280540,Is there a shower door?,no
333850,490224,Is the bear alive?,no
205863,555833,Is there grass on the ground?,no
46033,406226,Is the bedspread white?,no
199935,449699,Is the giraffe being pursued?,no
268673,470354,Is there a commercial passenger boat in the photo?,no
321387,355301,Is the batter standing still?,no
256784,73461,Is the ground wet?,no
213935,60572,Is he protected from injury?,no
14117,512961,Are those things for sale?,no
328340,95329,Is there meat on this?,no
354042,496516,Are the computer monitors turned on?,no
14847,528555,Is the object that's providing shade a living tree?,no
252509,181348,Are there magazines in this picture?,no
28769,139324,Does the boy have short hair?,no
207784,271941,Is this a park that is designated for skateboarding?,no
174594,270362,Are the apples the same color?,no
74436,571485,Is the surfer wearing a wetsuit?,no
324557,225202,Is this a herd?,no
67734,19194,Is the refrigerator running?,no
203365,188479,Is this in a compound?,no
19512,398808,Are the suitcases for sale?,no
142517,564643,Does this animal look photoshopped in?,no
337813,360367,Is this a mother bear with two cubs?,no
274268,472026,Is the chair seat polka dotted?,no
120281,427238,Is this person on the right a transsexual?,no
44913,536960,Are these bottles open?,no
161392,307764,Are there any sharks in this photo?,no
412315,514619,Are the signs in English?,no
274295,209890,Is the water calm?,no
185359,423776,Has it been raining?,no
405786,250381,Are there footprints in the sand?,no
417438,142229,Is the weather warm in this photo?,no
332074,358616,Is the train on a track?,no
58440,278639,Is the wall clean?,no
129919,429898,Is this bird making noise?,no
369644,108045,Is there more than 3 colors on the vase?,no
43429,12283,Are the people tourists?,no
415901,384700,Is there a man-made structure visible in the background behind the plane?,no
