q1,q2,generated_text,real_label,scenario
ويتامين ب در چه چيزهايي وجود دارد؟,ويتامين b12 در چه چيزهايي وجود دارد؟,  [NEW_LINE] در ادامه دو سؤال آمده است.  [NEW_LINE] آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال اول: آیا در چه چیزهای وجود دارد؟  [NEW_LINE] سؤال دوم: آیا در چه چیزهای وجود دارد؟  [NEW_LINE] در ادامه دو سؤال آمده است.  [,خیر,Zero-shot
داستان معراج پیامبر در کدام سوره است؟,داستان معراج پیامبر در کدام سوره قرانی امده است؟,  [NEW_LINE] در ادامه دو سؤال آمده است.  [NEW_LINE] آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال اول: داستان معراج پیامبر در کدام سوره است؟  [NEW_LINE] سؤال دوم: داستان معراج پیامبر در کدام سوره قرانی امده است؟  [NEW_LINE] در ادامه دو سؤال آمده است.  [NEW_,بله,Zero-shot
کارتهای اعتباری در مشاغل کوچک و رستوران های مالت چقدر پذیرفته شده اند؟,کارتهای اعتباری در مشاغل کوچک و رستورانهای اسرائیل چقدر پذیرفته شده اند؟,  [NEW_LINE] در ادامه دو سؤال آمده است.  [NEW_LINE] آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال اول: کارتهای اعتباری در مشاغل کوچک و رستوران های مالت چقدر پذیرفته شده اند؟  [NEW_LINE] سؤال دوم: کارتهای اعتباری در مشاغل کوچک و رستورهای اسرائیل چقدر پذیرفته شده اند؟  [NEW_LINE],خیر,Zero-shot
زیرنویس فارسی فیلم دره من چه سرسبز بود؟,دانلود زیرنویس فارسی فیلم دره من چه سرسبز بود؟,  [NEW_LINE] سؤال: آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال: آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال:,بله,Zero-shot
از کجا بفهمیم باتری لپ تاپ سالم است؟,از کجا بفهمیم باتری لپ تاپ خراب است؟,  [NEW_LINE] سؤال ۳:  [NEW_LINE] در ادامه دو سؤال آمده است.  [NEW_LINE] آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال اول: از کجا می‌توانیم بدانیم باتری لپ تاپ سالم است؟  [NEW_LINE] سؤال دوم: از کجا می‌توانیم بدانیم باتری لپ تاپ خراب است؟  [,خیر,Zero-shot
فلات ایران شبیه کدام شکل هندسی است؟,کدام پرچم شبیه پرچم ایران است؟,  [NEW_LINE] خروجی.  [NEW_LINE] خروجی این برنامه به صورت زیر است:  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_,خیر,Zero-shot
خانواده ویتامین b در چه چیزهایی وجود دارد؟,ویتامین گروه b در چه مواد غذایی وجود دارد؟,  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [NEW_LINE]  [,بله,Zero-shot
برخی از ویژگی های انقباضات غیر عادی و متمرکز چیست؟,علائم انقباضات غیر عادی و متمرکز چیست؟,  [NEW_LINE] در ادامه دو سؤال آمده است.  [NEW_LINE] آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال اول: آیا در درمان‌های غیر معمول و متمرکز، از داروهای ضد افسردگی استفاده می‌شود؟  [NEW_LINE] سؤال دوم: آیا در درمان‌های غیر معمول و متمرکز، از داروهای ضد افسردگی استفاده می‌شود�,بله,Zero-shot
سود سهام عدالت شامل چه کسانی می شود؟,سهام عدالت شامل حال چه کسانی می شود؟,  [NEW_LINE] سؤال: آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال: آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال:,خیر,Zero-shot
تست بارداری به غیر از بیبی چک؟,چه موقع میشه از تست بارداری استفاده کرد؟,  [NEW_LINE] در ادامه دو سؤال آمده است.  [NEW_LINE] آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف هستند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نیستند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال اول: آیا تست بارداری به غیر از بیبی چک انجام می‌شود؟  [NEW_LINE] سؤال دوم: چه موقع از تست بارداری استفاده می‌شود؟  [NEW_LINE] در ادامه دو سؤال آمده است. ,خیر,Zero-shot
چه با لباس در وان نشسته باشی؟,چه غذایی با فسنجون جور در میاد؟,  [NEW_LINE] سؤال سوم: آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف باشند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نباشند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE] سؤال اول: آیا این دو سؤال مترادف هستند یا خیر؟  [NEW_LINE] اگر مترادف باشند فقط در یک کلمه جواب 'بله' را تولید کنید.  [NEW_LINE] اگر مترادف نباشند فقط در یک کلمه جواب 'خیر' را تولید کنید.  [NEW_LINE],خیر,Zero-shot
