q1,q2,generated_text,real_label,scenario
ويتامين ب در چه چيزهايي وجود دارد؟,ويتامين b12 در چه چيزهايي وجود دارد؟, جواب: بله,خیر,Zero-shot
داستان معراج پیامبر در کدام سوره است؟,داستان معراج پیامبر در کدام سوره قرانی امده است؟, جواب: بله,بله,Zero-shot
کارتهای اعتباری در مشاغل کوچک و رستوران های مالت چقدر پذیرفته شده اند؟,کارتهای اعتباری در مشاغل کوچک و رستورانهای اسرائیل چقدر پذیرفته شده اند؟, بله,خیر,Zero-shot
زیرنویس فارسی فیلم دره من چه سرسبز بود؟,دانلود زیرنویس فارسی فیلم دره من چه سرسبز بود؟, جواب: بله,بله,Zero-shot
از کجا بفهمیم باتری لپ تاپ سالم است؟,از کجا بفهمیم باتری لپ تاپ خراب است؟, جواب: بله,خیر,Zero-shot
فلات ایران شبیه کدام شکل هندسی است؟,کدام پرچم شبیه پرچم ایران است؟, جواب: بله,خیر,Zero-shot
خانواده ویتامین b در چه چیزهایی وجود دارد؟,ویتامین گروه b در چه مواد غذایی وجود دارد؟, جواب: بله,بله,Zero-shot
برخی از ویژگی های انقباضات غیر عادی و متمرکز چیست؟,علائم انقباضات غیر عادی و متمرکز چیست؟, بله، آنها مترادف هستند.,بله,Zero-shot
سود سهام عدالت شامل چه کسانی می شود؟,سهام عدالت شامل حال چه کسانی می شود؟, جواب: خیر,خیر,Zero-shot
تست بارداری به غیر از بیبی چک؟,چه موقع میشه از تست بارداری استفاده کرد؟, بله,خیر,Zero-shot
چه با لباس در وان نشسته باشی؟,چه غذایی با فسنجون جور در میاد؟, جواب: بله,خیر,Zero-shot
راه های آسان برای کسب درآمد آنلاین چیست؟,راه های کسب درآمد بصورت آنلاین چیست؟, جواب: بله,بله,Zero-shot
انشا در مورد چرا باید به مادر خود احترام بگذاریم؟,انشا در مورد چرا باید به بزرگترها احترام بگذاریم؟, بله,خیر,Zero-shot
از کجا بفهمیم باتری لپ تاپ سالم است؟,از کجا بفهمیم باتری لپ تاپ اصل است؟, جواب: بله,خیر,Zero-shot
اگر فقیر باشم چطور می توانم سالم بخورم؟,چگونه می توانم سالم بخورم ، بدون اینکه زمان زیادی را صرف پخت و پز/خرید/ خوردن نکنم؟, بله,خیر,Zero-shot
غلط گیر با چه چیزی می رود؟,لاک غلط گیر با چه چیزی پاک می شود؟, جواب: بله,بله,Zero-shot
چه کار کنیم تا به درس خواندن علاقه مند شویم؟,چه کار کنیم تا علاقه مان به درس بیشتر شود؟, جواب: بله,بله,Zero-shot
خوراکی هایی که برای زنان باردار مفید است؟,خوراکی هایی که برای زن باردار مفید است؟, بله,بله,Zero-shot
برای داشتن شکم صاف چه کاری می توانم انجام دهم؟,چگونه چربی شکمم را کاهش دهم؟, بله,خیر,Zero-shot
چرا اینترنت گوشی اپل به لپ تاپ وصل نمیشه؟,چگونه با لپ تاپ به اینترنت گوشی اپل وصل شویم؟, جواب: بله,خیر,Zero-shot
از کجا بفهمیم چه شماره هایی به نام ماست؟,از کجا بفهمیم چه شماره های ایرانسلی به نام ماست؟, جواب: بله,خیر,Zero-shot
چگونه می توانم در محل کار دوست پیدا کنم؟,چگونه دوست پیدا می کنیم؟, بله,خیر,Zero-shot
چه چیزی باعث روزی زیاد می شود؟,کمبود چه چیزی باعث خواب زیاد می شود؟, جواب: بله,خیر,Zero-shot
چه میوه هایی برای عفونت ریه خوب است؟,چه میوه هایی برای عفونت گلو خوب است؟, جواب: بله,خیر,Zero-shot
چه چیزی ویتامین بدن را تامین میکند؟,چه غذاهایی ویتامین بدن را تامین میکند؟, جواب: بله,بله,Zero-shot
چه چیزی برای درمان زود انزالی خوب است؟,چه چیزی برای زود انزالی خوب است؟, جواب: بله,بله,Zero-shot
برای طولانی کردن رابطه در رختخواب چه کاری باید انجام دهم؟,چگونه می توانم در رابطه جنسی طولانی تر باشم؟, بله، اینها مترادف هستند.,بله,Zero-shot
کدام کشورهای اروپایی جزو اتحادیه اروپا نیستند؟,کدام گروه جزو سابقون نیستند؟, جواب سوال اول:  جواب سوال دوم: ,خیر,Zero-shot
چرا حضرت ابراهیم در برابر نمرود به سجده نیفتاد؟,چرا خداوند در قران به حضرت ابراهیم درود فرستاد؟, جواب: بله,خیر,Zero-shot
چگونه می توانم به عنوان دانشجوی بین المللی در ایالات متحده درخواست شغل کنم؟,Proteus software Infrared Light Sensors Microcontrollers +1: چگونه می توان حسگر IR را با استفاده از نرم افزار Proteus شبیه سازی کرد؟, جواب: بله,خیر,Zero-shot
چرا جوجه های یک روزه را زنده به گور میکنند؟,چرا جوجه های یک روزه را میکشند؟, جواب: بله,بله,Zero-shot
ویتامین بی در کدام مواد غذایی است؟,ویتامین دی در کدام مواد غذایی است؟, جواب: بله,خیر,Zero-shot
چه کسانی میتوانند در آزمون ept شرکت کنند؟,چه کسانی میتوانند در کنکور تجربی شرکت کنند؟, بله,خیر,Zero-shot
چه چیزی باعث قطع شدن ابریزش بینی می شود؟,چه چیزی باعث کوچک شدن بینی گوشتی می شود؟, جواب: بله,خیر,Zero-shot
از کجا بفهمیم که یارانه قطع شده؟,چگونه بفهمیم که یارانه قطع شده؟, بله,بله,Zero-shot
نمونه هایی از ناهماهنگی شناختی در فوتبال چیست؟,نمونه هایی از ناهماهنگی شناختی در اینترنت چیست؟, جواب: بله,خیر,Zero-shot
شهریه دانشگاه آزاد رشته پزشکی سال 98؟,شهریه دانشگاه ازاد رشته پزشکی سال ۹۸؟, بله,بله,Zero-shot
آیا وقتی وجود دارد که نباید رها کنید؟ (کسی را),زمان کافی برای رها کردن کسی کیست؟, بله,خیر,Zero-shot
چه چیزی برای از بین بردن چربی خون مفید است؟,چه چیزی برای از بین بردن کیست تخمدان مفید است؟, جواب: بله,خیر,Zero-shot
از کجا بفهمم بچم گوش درد داره؟,از کجا بفهمم نوزاد گوش درد داره؟, جواب: بله,بله,Zero-shot
